id,name,slug,status,twitter,twitter_handles,parent,appeal_agency,url,foia_logs,foia_guide,public_notes,absolute_url,average_response_time,fee_rate,success_rate,has_portal,has_email,has_fax,has_address,number_requests,number_requests_completed,number_requests_rejected,number_requests_no_docs,number_requests_ack,number_requests_resp,number_requests_fix,number_requests_appeal,number_requests_pay,number_requests_partial,number_requests_lawsuit,number_requests_withdrawn,jurisdiction name,jurisdiction parent,jurisdiction level,jurisdiction-level,success_category
60,"U.S. Department Of Agriculture, Office of the Secretary",department-of-agriculture,approved,,,,,http://usda.gov,,,[U.S.D.A. FOIA Regulations](https://www.dm.usda.gov/usdaregs.pdf),https://www.muckrock.com/agency/united-states-of-america-10/department-of-agriculture-60/,187,0.0,43.0,False,True,False,True,130,54,7,15,9,8,19,1,0,3,0,14,United States of America,,f,Federal,26-50%
27,"Marines - United States Marine Corps, USMC",marines,approved,,,,8503.0,http://www.hqmc.marines.mil/Agencies/USMCFOIA/Howtomakearequest.aspx,,,"Note: as of February 2013, USMC does not accept FOIA requests via email.",https://www.muckrock.com/agency/united-states-of-america-10/marines-27/,232,3.0,43.0,True,False,True,True,130,53,9,27,1,4,12,1,0,3,0,19,United States of America,,f,Federal,26-50%
70,National Park Service,national-park-service,approved,,,,7815.0,http://www.nps.gov/aboutus/foia/foia-contact.htm,,,,https://www.muckrock.com/agency/united-states-of-america-10/national-park-service-70/,73,3.0,43.0,False,True,True,True,130,55,3,25,1,17,11,7,0,1,0,10,United States of America,,f,Federal,26-50%
39,Transportation Security Administration,transportation-security-administration,approved,TSA,,9.0,,,,,,https://www.muckrock.com/agency/united-states-of-america-10/transportation-security-administration-39/,482,0.0,22.0,True,True,False,True,128,29,11,18,2,18,24,2,3,0,0,20,United States of America,,f,Federal,0-25%
65,Department of Commerce,us-department-of-commerce,approved,,,,,http://www.osec.doc.gov/omo/FOIA/,,,,https://www.muckrock.com/agency/united-states-of-america-10/us-department-of-commerce-65/,221,4.0,20.0,True,True,False,True,127,24,18,13,0,40,16,1,0,2,0,13,United States of America,,f,Federal,0-25%
3073,Office of the Mayor,office-of-the-mayor,approved,,,,,http://www.nyc.gov/mayor,,,,https://www.muckrock.com/agency/new-york-city-17/office-of-the-mayor-3073/,277,0.0,35.0,True,True,False,True,124,44,20,18,0,28,3,2,0,0,0,5,New York City,New York,l,Local,26-50%
25,Army - United States Department of the Army,army,approved,,,,,,,,Army FOIA guide: http://www.garrison.redstone.army.mil/www_garrison/foia/foia_guide.html,https://www.muckrock.com/agency/united-states-of-america-10/army-25/,174,0.0,18.0,True,True,False,True,119,22,7,23,7,17,19,7,0,0,0,17,United States of America,,f,Federal,0-25%
224,National Aeronautics and Space Administration,nasa,approved,,,,7229.0,http://www.hq.nasa.gov/office/pao/FOIA/,,,,https://www.muckrock.com/agency/united-states-of-america-10/nasa-224/,67,3.0,33.0,False,False,True,True,118,39,25,20,0,1,9,4,2,1,0,17,United States of America,,f,Federal,26-50%
69,U.S. Office of Management and Budget,office-of-management-and-budget,approved,,,,,,,,,https://www.muckrock.com/agency/united-states-of-america-10/office-of-management-and-budget-69/,184,0.0,14.0,False,True,True,True,118,16,7,28,2,47,11,0,0,1,0,6,United States of America,,f,Federal,0-25%
33,General Services Administration,general-services-administration,approved,,USGSA,,,,,,,https://www.muckrock.com/agency/united-states-of-america-10/general-services-administration-33/,107,0.0,48.0,True,True,False,True,116,55,5,21,0,7,18,0,0,1,0,8,United States of America,,f,Federal,26-50%
80,Department of Housing and Urban Development,us-department-of-housing-and-urban-development,approved,,,,,http://portal.hud.gov/hudportal/HUD?src=/program_offices/administration/foia,,,,https://www.muckrock.com/agency/united-states-of-america-10/us-department-of-housing-and-urban-development-80/,309,3.0,30.0,False,False,True,True,115,33,1,8,4,39,18,0,0,2,0,10,United States of America,,f,Federal,26-50%
32,United States Postal Service,united-states-postal-service,approved,,,,7638.0,https://about.usps.com/who-we-are/foia/service-centers.htm,,,,https://www.muckrock.com/agency/united-states-of-america-10/united-states-postal-service-32/,129,5.0,40.0,False,True,True,True,115,46,23,15,4,7,3,0,5,1,0,11,United States of America,,f,Federal,26-50%
63,Department of Labor,department-of-labor,approved,,,,7717.0,,,,,https://www.muckrock.com/agency/united-states-of-america-10/department-of-labor-63/,131,2.0,33.0,False,True,False,False,112,36,6,20,16,13,10,1,0,2,0,8,United States of America,,f,Federal,26-50%
7866,Bureau of Land Management,bureau-of-land-management,approved,,,,,https://www.blm.gov/wo/st/en/res/FOIA.html,,,,https://www.muckrock.com/agency/united-states-of-america-10/bureau-of-land-management-7866/,247,0.0,24.0,False,True,True,True,111,26,1,8,4,63,5,2,0,1,0,1,United States of America,,f,Federal,0-25%
375,Denver Police Department,denver-police-department,approved,,,,,http://www.denvergov.org/police/PoliceDepartment/Contact/tabid/440755/Default.aspx,,,Email: dpdpio@denvergov.org,https://www.muckrock.com/agency/denver-145/denver-police-department-375/,38,17.0,54.0,False,True,False,True,105,55,3,23,0,1,8,0,5,2,0,8,Denver,Colorado,l,Local,51-75%
118,Massachusetts Bay Transportation Authority (MBTA),massachusetts-bay-transportation-authority,approved,,,,3146.0,,,,,https://www.muckrock.com/agency/massachusetts-1/massachusetts-bay-transportation-authority-118/,98,12.0,33.0,True,True,True,True,104,34,7,17,0,7,6,2,5,1,0,25,Massachusetts,United States of America,s,State,26-50%
62,Department of Transportation,department-of-transportation,approved,,,,,,,,,https://www.muckrock.com/agency/united-states-of-america-10/department-of-transportation-62/,204,0.0,41.0,False,False,True,True,103,42,0,16,5,35,2,0,0,1,0,2,United States of America,,f,Federal,26-50%
4066,St. Louis County Police Department,police-department,approved,,,,,http://www.stlouisco.com/LawandPublicSafety/PoliceDepartment/Services/CentralPoliceRecords,,,,https://www.muckrock.com/agency/st-louis-county-8838/police-department-4066/,24,40.0,32.0,False,True,True,True,102,30,6,16,7,4,4,1,15,3,0,16,St. Louis County,Missouri,l,Local,26-50%
11,Mayor's Office,mayors-office,approved,,,,,,,,,https://www.muckrock.com/agency/boston-3/mayors-office-11/,74,14.0,56.0,False,True,False,True,99,56,0,24,2,4,2,0,3,0,0,8,Boston,Massachusetts,l,Local,51-75%
796,"Department of Justice, Office of the Inspector General",department-justice-office-inspector-general,approved,,,,,http://www.justice.gov/oig/foia/,,,,https://www.muckrock.com/agency/united-states-of-america-10/department-justice-office-inspector-general-796/,211,0.0,32.0,True,True,False,True,99,32,15,18,0,17,4,3,0,0,0,9,United States of America,,f,Federal,26-50%
2589,Consumer Financial Protection Bureau,consumer-financial-protection-bureau,approved,,,,,http://www.consumerfinance.gov/,,,,https://www.muckrock.com/agency/united-states-of-america-10/consumer-financial-protection-bureau-2589/,51,10.0,39.0,False,True,True,True,93,37,8,18,3,8,11,1,6,0,0,1,United States of America,,f,Federal,26-50%
162,Department of Transportation,department-of-transporation,approved,,,,,,,,,https://www.muckrock.com/agency/massachusetts-1/department-of-transporation-162/,51,12.0,53.0,False,True,False,True,93,50,1,16,1,2,6,1,4,0,0,12,Massachusetts,United States of America,s,State,51-75%
336,Houston Police Department,police-department,approved,,,,,http://www.houstontx.gov/police/public_information.htm,,,"The Texas Public Information Act (""TPIA"")",https://www.muckrock.com/agency/houston-113/police-department-336/,37,24.0,36.0,False,True,True,True,93,34,2,18,4,5,9,0,13,0,0,8,Houston,Texas,l,Local,26-50%
23,United States Central Command - CENTCOM,united-states-central-command,approved,https://twitter.com/CENTCOM,,,,http://www.centcom.mil/Home/FOIA/,,,,https://www.muckrock.com/agency/united-states-of-america-10/united-states-central-command-23/,339,2.0,26.0,False,False,False,True,93,25,9,18,2,23,6,1,0,0,0,9,United States of America,,f,Federal,26-50%
4330,Dallas Police Department,dallas-police-department,approved,,,,,http://policereports.dallaspolice.net/,,,,https://www.muckrock.com/agency/dallas-190/dallas-police-department-4330/,86,35.0,25.0,True,True,True,True,92,22,2,14,2,19,8,0,13,1,0,11,Dallas,Texas,l,Local,0-25%
194,Office of the Governor - New York,governors-office,approved,,,,7090.0,http://www.governor.ny.gov/sl2/foil,,,,https://www.muckrock.com/agency/new-york-16/governors-office-194/,64,0.0,34.0,False,True,True,True,91,31,13,34,3,3,1,0,0,0,0,6,New York,United States of America,s,State,26-50%
2660,"Department of Interior, Office of the Solicitor",department-of-interior-office-of-the-solicitor,approved,,,,,,,,,https://www.muckrock.com/agency/united-states-of-america-10/department-of-interior-office-of-the-solicitor-2660/,139,0.0,36.0,False,True,True,True,90,33,2,16,5,25,2,1,0,0,1,5,United States of America,,f,Federal,26-50%
459,"Department of the Interior, Office of the Secretary",department-interior-department-interior-aviation-management-directorate,approved,,,,,http://www.doi.gov/foia/os/index.cfm,,,,https://www.muckrock.com/agency/united-states-of-america-10/department-interior-department-interior-aviation-management-directorate-459/,150,0.0,33.0,True,True,True,True,89,27,1,6,0,39,4,2,0,3,2,5,United States of America,,f,Federal,26-50%
236,Department of Homeland Security Office of Inspector General,department-of-homeland-security-office-of-inspector-general,approved,,,,,http://www.oig.dhs.gov/index.php?option=com_content&view=article&id=11&Itemid=77,,,,https://www.muckrock.com/agency/united-states-of-america-10/department-of-homeland-security-office-of-inspector-general-236/,187,2.0,35.0,True,True,False,True,88,27,10,9,3,21,4,2,1,4,0,6,United States of America,,f,Federal,26-50%
441,Phoenix Police Department,phoenix-police-department,approved,,,,,http://phoenix.gov/police/pub1.html,,,,https://www.muckrock.com/agency/phoenix-94/phoenix-police-department-441/,152,31.0,32.0,False,True,False,True,88,29,0,12,6,14,8,0,9,0,0,10,Phoenix,Arizona,l,Local,26-50%
365,Austin Police Department,austin-police-department,approved,,,,,,,,,https://www.muckrock.com/agency/austin-139/austin-police-department-365/,40,1.0,46.0,True,True,True,True,88,40,4,17,3,16,3,0,1,1,0,2,Austin,Texas,l,Local,26-50%
671,St. Louis Metropolitan Police Department,st-louis-metropolitan-police-department,approved,,,,,http://www.slmpd.org/press_room.html,,,,https://www.muckrock.com/agency/st-louis-337/st-louis-metropolitan-police-department-671/,89,25.0,30.0,False,False,False,True,84,23,2,21,2,5,11,0,11,3,0,6,St. Louis,Missouri,l,Local,26-50%
3520,Navy Personnel Command,navy-personnel-command,approved,,,,,http://www.public.navy.mil/bupers-npc/reference/foia/Pages/default.aspx,,,,https://www.muckrock.com/agency/united-states-of-america-10/navy-personnel-command-3520/,50,0.0,50.0,True,True,True,True,82,33,7,15,0,3,9,0,0,8,0,7,United States of America,,f,Federal,26-50%
644,Detroit Police Department,detroit-police-department,approved,,,,,http://www.detroitmi.gov/DepartmentsandAgencies/PoliceDepartment/ContactUs.aspx,,,,https://www.muckrock.com/agency/detroit-314/detroit-police-department-644/,62,14.0,24.0,False,True,True,True,81,19,13,13,4,8,5,2,10,1,0,6,Detroit,Michigan,l,Local,0-25%
215,Coast Guard,coast-guard,approved,uscg,,9.0,,http://www.uscg.mil/foia/,,,,https://www.muckrock.com/agency/united-states-of-america-10/coast-guard-215/,239,0.0,37.0,True,True,False,True,80,27,9,15,0,8,9,2,0,3,0,7,United States of America,,f,Federal,26-50%
101,"Department of the Navy, Naval Operations",navy,approved,,,,,,,,,https://www.muckrock.com/agency/united-states-of-america-10/navy-101/,211,1.0,32.0,True,True,True,True,79,26,7,15,14,4,1,1,0,0,0,11,United States of America,,f,Federal,26-50%
115,"Department of Justice, Criminal Division",department-of-justice-criminal-division,approved,,,,,http://www.justice.gov/criminal/foia/,,,,https://www.muckrock.com/agency/united-states-of-america-10/department-of-justice-criminal-division-115/,272,2.0,11.0,False,True,True,True,79,9,7,22,1,10,12,0,2,0,0,15,United States of America,,f,Federal,0-25%
508,Attorney General's Office,attorney-generals-office,approved,,,,,,,,,https://www.muckrock.com/agency/massachusetts-1/attorney-generals-office-508/,85,10.0,39.0,True,True,False,True,78,30,8,16,0,8,2,0,3,1,0,10,Massachusetts,United States of America,s,State,26-50%
636,San Diego Police Department,san-diego-police-department,approved,,,,,http://www.sandiego.gov/police/pdf/mediaresourceguide.pdf,,,,https://www.muckrock.com/agency/san-diego-56/san-diego-police-department-636/,41,1.0,58.0,True,True,True,True,78,44,5,19,0,3,2,0,0,2,0,3,San Diego,California,l,Local,51-75%
3805,U.S. Fish and Wildlife Service,us-fish-and-wildlife-service,approved,,,,,http://www.fws.gov/irm/bpim/foia.html,,,,https://www.muckrock.com/agency/united-states-of-america-10/us-fish-and-wildlife-service-3805/,143,0.0,48.0,False,True,True,True,78,34,2,12,2,6,8,3,1,4,0,6,United States of America,,f,Federal,26-50%
3142,"National Personnel Records Center, Military Personnel Records",national-personnel-records-center-military-personnel-records,approved,,,,,,,,,https://www.muckrock.com/agency/united-states-of-america-10/national-personnel-records-center-military-personnel-records-3142/,98,3.0,21.0,False,False,True,True,78,16,0,12,25,2,3,0,3,1,0,16,United States of America,,f,Federal,0-25%
372,Virginia State Police,virginia-state-police,approved,,,,,http://www.vsp.state.va.us/,,,,https://www.muckrock.com/agency/virginia-128/virginia-state-police-372/,11,19.0,10.0,False,True,True,True,78,7,19,21,0,3,9,2,8,1,0,8,Virginia,United States of America,s,State,0-25%
354,New York State Police,new-york-state-police,approved,,,,,https://www.troopers.ny.gov/FAQs/Request_Government_Records/,,,"Appeals should be sent:

New York State Police
Attn: Records Appeal Officer
1220 Washington Avenue - Building 22
Albany NY 12226-2252",https://www.muckrock.com/agency/new-york-16/new-york-state-police-354/,84,12.0,22.0,False,True,False,True,77,16,11,27,1,6,8,1,4,1,0,2,New York,United States of America,s,State,0-25%
284,Federal Emergency Management Agency,federal-emergency-management-agency,approved,fema,,9.0,6302.0,http://www.fema.gov/help/foia.shtm,,,,https://www.muckrock.com/agency/united-states-of-america-10/federal-emergency-management-agency-284/,425,0.0,44.0,True,True,True,True,77,33,4,18,1,11,5,1,0,1,0,3,United States of America,,f,Federal,26-50%
643,Department of Corrections,department-of-corrections,approved,,,,,http://www.azcorrections.gov/divisions_public_info_questions.aspx,,,,https://www.muckrock.com/agency/arizona-78/department-of-corrections-643/,125,3.0,46.0,False,True,True,True,76,35,3,12,9,3,2,0,0,0,0,12,Arizona,United States of America,s,State,26-50%
369,Oakland Police Department,oakland-police-department,approved,,,,,,,,,https://www.muckrock.com/agency/oakland-96/oakland-police-department-369/,94,0.0,26.0,True,True,False,True,75,17,1,14,7,25,2,0,0,3,0,4,Oakland,California,l,Local,26-50%
675,Oklahoma City Police Department,oklahoma-city,approved,,,,,http://www.okc.gov/okcpd/divisions/index.html,,,,https://www.muckrock.com/agency/oklahoma-city-341/oklahoma-city-675/,26,0.0,40.0,False,True,False,True,75,29,6,13,7,5,9,1,0,1,0,4,Oklahoma City,Oklahoma,l,Local,26-50%
210,Cambridge Police Department,cambridge-police-department,approved,,,,,http://www.cambridgepolice.org/,,,,https://www.muckrock.com/agency/cambridge-5/cambridge-police-department-210/,86,13.0,44.0,False,True,False,True,74,32,6,19,1,1,1,0,3,1,0,10,Cambridge,Massachusetts,l,Local,26-50%
396,Portland Police Bureau,portland-police-bureau,approved,,,,,http://www.portlandonline.com/police/index.cfm?c=30557,,,,https://www.muckrock.com/agency/portland-166/portland-police-bureau-396/,378,17.0,13.0,True,True,False,True,74,8,16,9,0,2,7,1,9,2,0,18,Portland,Oregon,l,Local,0-25%
658,Atlanta Police Department,atlanta-police-department,approved,,,,,http://atlantapd.org/openrecordsrequest.aspx,,,,https://www.muckrock.com/agency/atlanta-325/atlanta-police-department-658/,23,5.0,41.0,False,True,False,True,74,29,4,20,6,6,4,0,0,2,0,3,Atlanta,Georgia,l,Local,26-50%
